"admindbexplorer";"DB explorer"
"admincloudfiles";"Cloud File"
"adminbugtrack";"Bug Tracking tool"
"adminagenda";"Agenda"
"title";"Title"
"labelTitleHelp";"News/article title apearing in the list view"
"shortdesc";"Short Description"
"labelShortdescHelp";"News/article summary, maximum 255 characters also apearing in the list view"
"redirectto";"Redirect the news to a page or file"
"labelRedirecttoHelp";"If this is filled, the news will link to this File/Page and content will not be shown"
"pubdate";"Publication date"
"labelPubdateHelp";"Official publication date apearing in the view list"
"onlinefromdate";"Online from"
"labelOnlinefromdateHelp";"Date on which this news/article will apear on the website"
"expirationdate";"Online until"
"labelExpirationdateHelp";"Date on which this news/article will disapear"
"online";"Published"
"labelOnlineHelp";"If checked, and if today's date is between the 'online from' and 'online until' dates the news will appear on the website."
"author";"Author"
"labelAuthorHelp";"The original author and/or publisher of this news/article"
"companyname";"Company name"
"contactname";"Contact name"
"trace.event.create_content_page";"Content page created"
"trace.event.update_content_page";"Content page updated"
"trace.event.delete_content_page";"Content page deleted"
"trace.event.create_page";"New page created"
"trace.event.update_page";"Page updated"
"trace.event.delete_page";"Page deleted"
"trace.event.upload_file";"File uploaded"
"trace.event.update_file";"File updated"
"trace.event.delete_file";"File deleted"
"trace.event.create_news";"News created"
"trace.event.update_news";"News updated"
"trace.event.delete_news";"News deleted"
"trace.event.create_content_news";"Content news created"
"trace.event.update_content_news";"Content news updated"
"trace.event.delete_content_news";"Content news deleted"
"trace.event.publish_news_0";"News published"
"trace.event.publish_news_1";"News unpublished"
"trace.event.restore_page";"Page restored"
"trace.event.settorecyclebin_page";"Page deleted"
"trace.event.publish_page";"Page published"
"trace.event.unpublish_page";"Page UnPublished"
"trace.event.reorder_page";"Page structure reordered"
"trace.event.update_page_properties";"Page properties updated"
"trace.event.update_advanced_properties";"Advanced page properties updated"
"trace.event.action.publishnews";"news published"
"trace.event.action.unpublishnews";"news unpublished"
"trace.event.action.createcontent";"content element(s) created"
"trace.event.action.publispage";"page(s) published"
"trace.event.action.unpublishpage";"page(s) unpublished"
"trace.event.action.updatepageorder";"page(s) re-ordered"
"trace.event.action.updatecontent";"content element(s) updated"
"trace.event.action.deletecontent";"content element(s) deleted"
"trace.event.action.deletefile";"file(s) deleted"
"trace.event.action.updatefile";"file(s) updated"
"trace.event.action.uploadfile";"file(s) uploaded"
"trace.event.action.restorecontent";"content restored"
"trace.event.action.deletenews";"news deleted"
"trace.event.action.update";"page element(s) updated"
"trace.event.action.insert";"page element(s) inserted"
"trace.event.action.delete";"page element(s) deleted"
"trace.event.action.publishdiv";"page element(s) published"
"trace.event.action.unpublishdiv";"page element(s) set as draft"
"trace.event.action.createevent";"agenda event(s) created"
